po_number,item_number,material_id,material_description,plant,storage_location,order_qty,uom,net_price,price_unit,item_value,delivery_date,item_category,account_assignment_category,deletion_flag,delivery_completed_flag,invoice_receipt_flag,goods_receipt_flag
4500002001,00010,M100001,Microprocessor Core v1,PL01,SL01,100,PC,15.00,1,1500.00,2026-06-25,STANDARD,,N,N,Y,Y
4500002002,00010,M100001,Microprocessor Core v1,PL01,SL01,200,PC,15.00,1,3000.00,2026-06-05,STANDARD,,N,N,Y,Y
4500002003,00010,M100001,Microprocessor Core v1,PL01,SL01,150,PC,15.00,1,2250.00,2026-05-15,STANDARD,,N,Y,Y,Y
4500002004,00010,M100001,Microprocessor Core v1,PL01,SL01,1000,PC,15.00,1,15000.00,2026-05-20,STANDARD,,N,N,Y,Y
4500002005,00010,M100001,Microprocessor Core v1,PL01,SL01,300,PC,15.00,1,4500.00,2026-07-15,STANDARD,,N,N,Y,Y
4500002006,00010,M100001,Microprocessor Core v1,PL01,SL01,100,PC,15.00,1,1500.00,2026-06-30,STANDARD,,N,N,Y,Y
4500002007,00010,M100001,Microprocessor Core v1,PL01,SL01,200,PC,15.00,1,3000.00,2026-06-12,STANDARD,,N,N,Y,Y
4500002008,00010,M100001,Microprocessor Core v1,PL01,SL01,400,PC,15.00,1,6000.00,2026-06-02,STANDARD,,N,N,Y,Y
4500002009,00010,M100001,Microprocessor Core v1,PL01,SL01,100,PC,15.00,1,1500.00,2026-06-08,STANDARD,,N,N,Y,Y
4500002010,00010,M100003,ASIC Transceiver Chip,PL02,SL01,5000,PC,25.00,1,125000.00,2026-07-20,STANDARD,,N,N,Y,Y
4500002011,00010,M100002,Resistor Pack 10k,PL01,SL01,1000,PC,0.15,1,150.00,2026-06-25,STANDARD,,N,N,Y,Y
4500002012,00010,M100001,Microprocessor Core v1,PL01,SL01,500,PC,15.00,1,7500.00,2026-05-10,STANDARD,,N,N,Y,Y
4500002013,00010,M100001,Microprocessor Core v1,PL01,SL01,250,PC,15.00,1,3750.00,2026-06-01,STANDARD,,N,N,Y,Y
4500002014,00010,M100003,ASIC Transceiver Chip,PL02,SL01,1000,PC,25.00,1,25000.00,2026-06-30,STANDARD,,N,N,Y,Y
4500002015,00010,M100001,Microprocessor Core v1,PL01,SL01,100,PC,15.00,1,1500.00,2026-06-25,STANDARD,,Y,N,Y,Y
4500002016,00010,M100001,Microprocessor Core v1,PL01,SL01,500,PC,15.00,1,7500.00,2026-05-10,STANDARD,,N,Y,Y,Y
4500002017,00010,M100001,Microprocessor Core v1,PL01,SL01,100,PC,15.00,1,1500.00,2026-06-25,STANDARD,,N,N,Y,Y
4500002018,00010,M100001,Microprocessor Core v1,PL01,SL01,100,PC,15.00,1,1500.00,INVALID_DATE,STANDARD,,N,N,Y,Y
4500002019,00010,S200001,ERP Implementation Consulting Services,PL03,SL01,1,HR,75000.00,1,75000.00,2026-06-30,SERVICE,K,N,N,Y,Y
4500002020,00010,S200002,System Upgrade Integration Test Services,PL03,SL01,1,HR,45000.00,1,45000.00,2026-05-15,SERVICE,K,N,N,Y,Y
4500002021,00010,M100001,Microprocessor Core v1,PL01,SL01,150,PC,15.00,1,2250.00,2026-06-25,STANDARD,,N,N,Y,Y
4500002021,00020,M100002,Resistor Pack 10k,PL02,SL01,5000,PC,0.15,1,750.00,2026-06-25,STANDARD,,N,N,Y,Y
4500002022,00010,M100003,ASIC Transceiver Chip,PL02,SL01,3000,PC,25.00,1,75000.00,2026-05-15,STANDARD,,N,N,Y,Y
4500002023,00010,M100001,Microprocessor Core v1,PL01,SL01,200,PC,15.00,1,3000.00,2026-05-20,STANDARD,,N,N,Y,Y
4500002024,00010,M100001,Microprocessor Core v1,PL01,SL01,100,PC,15.00,1,1500.00,2026-06-01,STANDARD,,N,N,Y,Y
4500002025,00010,S200003,Cloud Migration System Analysis,PL03,SL01,1,HR,60000.00,1,60000.00,2026-04-30,SERVICE,K,N,N,Y,Y
4500002026,00010,M100001,Microprocessor Core v1,PL01,SL01,100,PC,15.00,1,1500.00,2026-05-15,STANDARD,,N,N,Y,Y
4500002027,00010,M100001,Microprocessor Core v1,PL01,SL01,100,PC,15.00,1,1500.00,2026-06-05,STANDARD,,Y,N,Y,Y
4500002028,00010,M100001,Microprocessor Core v1,PL01,SL01,100,PC,15.00,1,1500.00,2026-05-30,STANDARD,,N,N,Y,Y
4500002029,00010,M100001,Microprocessor Core v1,PL01,SL01,-50,PC,15.00,1,-750.00,2026-06-10,STANDARD,,N,N,Y,Y
4500002030,00010,M100001,Microprocessor Core v1,PL01,SL01,100,PC,15.00,1,1500.00,2026-06-10,STANDARD,,N,N,Y,Y
