po_number,item_number,acknowledgement_status,acknowledged_qty,committed_delivery_date,supplier_confirm_number,last_supplier_response_date,response_source,buyer_followup_count
4500002002,00010,ACKNOWLEDGED,150,2026-05-12,CONF_4500002002,2026-05-12,EMAIL,0
4500002003,00010,ACKNOWLEDGED,150,2026-04-17,CONF_4500002003,2026-04-17,EMAIL,0
4500002006,00010,MISSING,0,2026-06-25,,,,0
4500002006,00020,MISSING,0,2026-06-25,,,,0
4500002006,00030,MISSING,0,2026-06-25,,,,0
4500002007,00010,ACKNOWLEDGED,200,2026-06-15,CONF_4500002007,2026-06-15,EMAIL,0
4500002008,00010,MISSING,0,2026-06-02,,,,1
4500002009,00010,MISSING,0,2026-06-08,,,,0
4500002010,00010,MISSING,0,2026-07-20,,,,0
4500002010,00020,MISSING,0,2026-07-20,,,,0
4500002010,00030,MISSING,0,2026-07-20,,,,0
4500002013,00010,ACKNOWLEDGED,250,2026-05-03,CONF_4500002013,2026-05-03,EMAIL,0
4500002014,00010,ACKNOWLEDGED,1000,2026-05-18,CONF_4500002014,2026-05-18,EMAIL,0
4500002015,00010,MISSING,0,2026-06-25,,,,0
4500002016,00010,ACKNOWLEDGED,500,2026-04-12,CONF_4500002016,2026-04-12,EMAIL,0
4500002017,00010,MISSING,0,2026-06-25,,,,0
4500002018,00010,MISSING,0,INVALID_DATE,,,,0
4500002021,00010,MISSING,0,2026-06-25,,,,0
4500002022,00010,ACKNOWLEDGED,3000,2026-04-12,CONF_4500002022,2026-04-12,EMAIL,0
4500002022,00020,ACKNOWLEDGED,1000,2026-05-20,CONF_4500002022,2026-05-20,EMAIL,0
4500002022,00030,ACKNOWLEDGED,500,2026-04-12,CONF_4500002022,2026-04-12,EMAIL,0
4500002022,00040,ACKNOWLEDGED,200,2026-04-12,CONF_4500002022,2026-04-12,EMAIL,0
4500002023,00010,MISSING,0,2026-05-20,,,,0
4500002026,00010,ACKNOWLEDGED,100,2026-04-18,CONF_4500002026,2026-04-18,EMAIL,3
4500002027,00010,MISSING,0,2026-05-01,,,,0
4500002028,00010,ACKNOWLEDGED,100,2026-05-03,CONF_4500002028,2026-05-03,EMAIL,0
4500002029,00010,MISSING,0,2026-06-10,,,,0
4500002030,00010,MISSING,0,2026-06-10,,,,0
4500002038,00010,MISSING,0,2026-05-01,,,,0
4500002049,00010,ACKNOWLEDGED,100,2026-05-12,CONF_4500002049,2026-05-12,EMAIL,0
4500002050,00010,ACKNOWLEDGED,100,2026-06-06,CONF_4500002050,2026-06-06,EMAIL,1
